part_family,position,name,machine_family,required_axes,id,setup_class,base_time,operation_modifier,reference_time_per_unit,eligible_machines
NF06,3,T finish,Turning,,OP030,Turning-B,2.5,0.8,2.2,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF07,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,2.475,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF07,2,M3 finish,Milling,3,OP020,Milling-B,10.0,0.8,7.2,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF08,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,2.8875,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF08,2,T finish,Turning,,OP020,Turning-B,2.5,0.8,2.1,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF08,3,M3 drill,Milling,3,OP030,Milling-C,10.0,0.45,4.7250000000000005,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF09,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,3.1625,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF09,2,M4 multi-face finish,Milling,4,OP020,Milling-B,10.0,0.8,9.200000000000001,"['M06', 'M08', 'M11', 'M14', 'M16', 'M18', 'M20', 'M22', 'M24', 'M25', 'M28', 'M30', 'M34', 'M37', 'M45', 'M46', 'M50', 'M52', 'M54', 'M56', 'M58', 'M60']"
NF10,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,2.75,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF10,2,T finish,Turning,,OP020,Turning-B,2.5,0.8,2.0,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF10,3,M4 multi-face finish,Milling,4,OP030,Milling-B,10.0,0.8,8.0,"['M06', 'M08', 'M11', 'M14', 'M16', 'M18', 'M20', 'M22', 'M24', 'M25', 'M28', 'M30', 'M34', 'M37', 'M45', 'M46', 'M50', 'M52', 'M54', 'M56', 'M58', 'M60']"
NF10,4,M3 drill,Milling,3,OP040,Milling-C,10.0,0.45,4.5,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF11,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,2.475,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF11,2,T bore,Turning,,OP020,Turning-C,2.5,1.0,2.25,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF11,3,H bore finish,Honing,,OP030,Honing-C,4.0,0.8,2.8800000000000003,"['M48', 'M49']"
NF11,4,T external finish,Turning,,OP040,Turning-B,2.5,0.8,1.8,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF12,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,3.0250000000000004,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF12,2,T bore,Turning,,OP020,Turning-C,2.5,1.0,2.75,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF12,3,H bore finish,Honing,,OP030,Honing-C,4.0,0.8,3.5200000000000005,"['M48', 'M49']"
NF12,4,T external finish,Turning,,OP040,Turning-B,2.5,0.8,2.2,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF12,5,T cutoff,Turning,,OP050,Turning-B,2.5,0.45,1.2375,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF13,1,M3 rough,Milling,3,OP010,Milling-A,10.0,1.1,11.55,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF13,2,M3 finish,Milling,3,OP020,Milling-B,10.0,0.8,8.4,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF13,3,W profile,WireEDM,,OP030,WireEDM-B,12.0,1.0,12.600000000000001,"['M42', 'M44']"
NF14,1,M3 rough,Milling,3,OP010,Milling-A,10.0,1.1,12.65,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF14,2,M4 multi-face finish,Milling,4,OP020,Milling-B,10.0,0.8,9.200000000000001,"['M06', 'M08', 'M11', 'M14', 'M16', 'M18', 'M20', 'M22', 'M24', 'M25', 'M28', 'M30', 'M34', 'M37', 'M45', 'M46', 'M50', 'M52', 'M54', 'M56', 'M58', 'M60']"
NF14,3,W profile,WireEDM,,OP030,WireEDM-B,12.0,1.0,13.799999999999999,"['M42', 'M44']"
NF15,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,2.6125000000000003,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF15,2,M3 features,Milling,3,OP020,Milling-B,10.0,1.0,9.5,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF15,3,T finish,Turning,,OP030,Turning-B,2.5,0.8,1.9000000000000001,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF16,1,T rough,Turning,,OP010,Turning-A,2.5,1.1,3.0250000000000004,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF16,2,M4 features,Milling,4,OP020,Milling-B,10.0,1.0,11.0,"['M06', 'M08', 'M11', 'M14', 'M16', 'M18', 'M20', 'M22', 'M24', 'M25', 'M28', 'M30', 'M34', 'M37', 'M45', 'M46', 'M50', 'M52', 'M54', 'M56', 'M58', 'M60']"
NF16,3,M3 drill,Milling,3,OP030,Milling-C,10.0,0.45,4.95,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF16,4,T finish,Turning,,OP040,Turning-B,2.5,0.8,2.2,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
NF17,1,M3 finish,Milling,3,OP010,Milling-B,10.0,0.8,6.800000000000001,"['M05', 'M06', 'M07', 'M08', 'M10', 'M11', 'M13', 'M14', 'M15', 'M16', 'M17', 'M18', 'M19', 'M20', 'M21', 'M22', 'M23', 'M24', 'M25', 'M26', 'M27', 'M28', 'M29', 'M30', 'M31', 'M34', 'M36', 'M37', 'M40', 'M45', 'M46', 'M47', 'M50', 'M51', 'M52', 'M53', 'M54', 'M55', 'M56', 'M57', 'M58', 'M59', 'M60', 'M61', 'M62', 'M63', 'M64', 'M65', 'M66', 'M67', 'M68']"
NF18,1,T finish,Turning,,OP010,Turning-B,2.5,0.8,1.8,"['M01', 'M02', 'M03', 'M04', 'M09', 'M12', 'M32', 'M33', 'M35', 'M38', 'M39', 'M41', 'M43']"
